num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
529	1430.841356	79.941120	-0.415431	2.610986	175.990388
531	1432.925380	73.073085	-0.289091	2.606279	129.950406
533	1435.008998	66.285558	-0.278674	2.607370	112.031361
535	1437.097219	59.858353	-0.155979	2.608718	92.473048
537	1439.188869	54.076911	-0.169187	2.612332	75.508081
539	1441.279680	48.822681	-0.212534	2.616933	61.468809
541	1443.369599	43.880965	-0.171931	2.619630	47.417820
543	1445.458803	39.308420	-0.152268	2.622425	39.397894
545	1447.547590	34.999823	-0.091787	2.626670	30.748549
547	1449.636198	31.141116	-0.075742	2.636891	24.966989
549	1451.725263	27.644253	-0.073880	2.647870	20.354862
551	1453.818418	24.603276	-0.021515	2.659366	14.712397
