crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	613	0.000000
281474976710655.000000	122.020706	614	0.000000
281474976710655.000000	116.329964	615	0.000000
281474976710655.000000	55.485657	616	0.000000
281474976710655.000000	Inf	617	0.000000
281474976710655.000000	95.249290	618	0.000000
281474976710655.000000	56.867580	619	0.000000
281474976710655.000000	79.957596	620	0.000000
281474976710655.000000	78.576340	621	0.000000
281474976710655.000000	45.888603	622	0.000000
281474976710655.000000	138.944870	623	0.000000
281474976710655.000000	62.884602	624	0.000000
281474976710655.000000	42.644417	625	0.000000
281474976710655.000000	50.828777	626	0.000000
281474976710655.000000	47.266415	627	0.000000
281474976710655.000000	44.864445	628	0.000000
281474976710655.000000	34.795189	629	0.000000
281474976710655.000000	36.663525	630	0.000000
281474976710655.000000	41.548992	631	0.000000
281474976710655.000000	33.051758	632	0.000000
281474976710655.000000	30.368513	633	0.000000
281474976710655.000000	32.452545	634	0.000000
281474976710655.000000	28.423374	635	0.000000
281474976710655.000000	28.127768	636	0.000000
281474976710655.000000	27.800537	637	0.000000
281474976710655.000000	21.366146	638	0.000000
281474976710655.000000	19.534868	639	0.000000
281474976710655.000000	18.487497	640	0.000000
281474976710655.000000	16.892332	641	0.000000
281474976710655.000000	15.178274	642	0.000000
281474976710655.000000	13.702883	643	0.000000
281474976710655.000000	13.705068	644	0.000000
281474976710655.000000	12.233317	645	0.000000
281474976710655.000000	11.364761	646	0.000000
281474976710655.000000	9.696730	647	0.000000
