num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
2759	6758.759036	84.859642	1.957940	-0.469059	118.317881
2761	6760.841716	82.823832	1.872984	-0.468766	115.563234
2763	6762.925107	80.840657	1.783041	-0.469029	107.836662
2765	6765.007278	78.909972	1.751121	-0.468821	103.407070
2767	6767.088811	76.922408	1.659116	-0.468299	96.838052
2769	6769.171176	75.053962	1.597728	-0.467550	93.761667
2771	6771.252825	73.029147	1.516952	-0.467456	86.940942
2773	6773.334790	71.074277	1.447142	-0.467561	84.717219
2775	6775.416321	69.221280	1.377044	-0.467578	80.238437
2777	6777.498559	67.444694	1.312555	-0.467676	76.594864
2779	6779.580477	65.569238	1.237756	-0.468222	73.716107
2781	6781.663614	63.811941	1.172970	-0.468998	71.079016
2783	6783.745586	62.028943	1.100343	-0.469140	67.848494
2785	6785.829285	60.241317	1.056417	-0.469430	60.206315
2787	6787.911462	58.474567	0.994302	-0.469438	60.693564
2789	6789.994093	56.783875	0.934809	-0.469624	56.474841
2791	6792.077096	55.187634	0.877965	-0.470376	51.845916
2793	6794.160069	53.498602	0.787642	-0.471286	48.909125
2795	6796.242446	51.982867	0.787665	-0.471330	45.170550
2797	6798.324384	50.334021	0.715551	-0.472157	45.581834
2799	6800.406419	49.006258	0.671571	-0.473367	40.329687
2801	6802.487450	47.456358	0.635773	-0.473865	40.122245
2803	6804.570724	46.103585	0.606951	-0.474555	36.319069
2805	6806.652130	44.706534	0.535894	-0.475843	35.370353
2807	6808.733314	43.233501	0.503139	-0.474029	32.833242
2809	6810.814038	42.020389	0.474617	-0.475329	30.295629
2811	6812.896705	40.763939	0.425162	-0.475947	29.843684
2813	6814.977348	39.491461	0.401854	-0.475990	26.580430
2815	6817.057531	38.318269	0.346206	-0.476559	25.389013
2817	6819.137107	37.158025	0.322881	-0.476901	25.079737
2819	6821.219565	35.945604	0.270227	-0.476951	23.203126
2821	6823.301378	34.818767	0.243712	-0.477176	21.321743
2823	6825.383965	33.721970	0.197346	-0.476625	20.651011
2825	6827.466777	32.688981	0.170623	-0.477490	19.800360
2827	6829.549705	31.669372	0.145733	-0.478050	17.529361
2829	6831.633534	30.705085	0.113476	-0.478231	17.037326
2831	6833.715889	29.685526	0.081465	-0.478037	15.590192
2833	6835.800162	28.838489	0.055659	-0.478927	15.474225
2835	6837.881744	27.875604	0.026313	-0.478689	13.743764
2837	6839.963983	27.001714	0.016067	-0.480396	13.514829
2839	6842.045318	26.157856	-0.018928	-0.482114	12.555810
