crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	2882	0.000000
281474976710655.000000	-123.066742	2883	0.000000
281474976710655.000000	Inf	2884	0.000000
281474976710655.000000	-55.868515	2885	0.000000
281474976710655.000000	Inf	2886	0.000000
281474976710655.000000	Inf	2887	0.000000
281474976710655.000000	Inf	2888	0.000000
281474976710655.000000	-204.187912	2889	0.000000
281474976710655.000000	-49.436283	2890	0.000000
281474976710655.000000	-48.863083	2891	0.000000
281474976710655.000000	-93.656090	2892	0.000000
281474976710655.000000	-95.380959	2893	0.000000
281474976710655.000000	-91.589439	2894	0.000000
281474976710655.000000	Inf	2895	0.000000
281474976710655.000000	-162.158524	2896	0.000000
281474976710655.000000	-42.796520	2897	0.000000
281474976710655.000000	-40.018387	2898	0.000000
281474976710655.000000	-78.777466	2899	0.000000
281474976710655.000000	-83.587158	2900	0.000000
281474976710655.000000	-79.861832	2901	0.000000
281474976710655.000000	-77.929176	2902	0.000000
281474976710655.000000	-135.810226	2903	0.000000
281474976710655.000000	-73.824028	2904	0.000000
281474976710655.000000	-38.163033	2905	0.000000
281474976710655.000000	-68.163628	2906	0.000000
281474976710655.000000	-66.132210	2907	0.000000
281474976710655.000000	-62.633076	2908	0.000000
281474976710655.000000	-63.611446	2909	0.000000
281474976710655.000000	-47.489841	2910	0.000000
281474976710655.000000	-63.944721	2911	0.000000
281474976710655.000000	-81.275009	2912	0.000000
281474976710655.000000	-57.800663	2913	0.000000
281474976710655.000000	-53.430149	2914	0.000000
281474976710655.000000	-39.264130	2915	0.000000
281474976710655.000000	-81.200157	2916	0.000000
281474976710655.000000	-48.951317	2917	0.000000
281474976710655.000000	-36.440296	2918	0.000000
281474976710655.000000	-43.470417	2919	0.000000
281474976710655.000000	-42.381363	2920	0.000000
281474976710655.000000	-47.902695	2921	0.000000
281474976710655.000000	-49.272720	2922	0.000000
281474976710655.000000	-35.703979	2923	0.000000
281474976710655.000000	-38.344055	2924	0.000000
281474976710655.000000	-46.008648	2925	0.000000
281474976710655.000000	-37.082260	2926	0.000000
281474976710655.000000	-37.229794	2927	0.000000
281474976710655.000000	-33.113964	2928	0.000000
281474976710655.000000	-30.043144	2929	0.000000
281474976710655.000000	-32.660885	2930	0.000000
281474976710655.000000	-30.958244	2931	0.000000
281474976710655.000000	-33.808910	2932	0.000000
281474976710655.000000	-31.775455	2933	0.000000
281474976710655.000000	-25.477253	2934	0.000000
281474976710655.000000	-28.924025	2935	0.000000
281474976710655.000000	-29.548801	2936	0.000000
281474976710655.000000	-28.644455	2937	0.000000
281474976710655.000000	-24.632385	2938	0.000000
281474976710655.000000	-26.430885	2939	0.000000
281474976710655.000000	-25.290077	2940	0.000000
281474976710655.000000	-24.935318	2941	0.000000
281474976710655.000000	-24.446911	2942	0.000000
281474976710655.000000	-23.375219	2943	0.000000
281474976710655.000000	-20.710875	2944	0.000000
281474976710655.000000	-20.355490	2945	0.000000
281474976710655.000000	-18.528997	2946	0.000000
281474976710655.000000	-19.827366	2947	0.000000
281474976710655.000000	-19.925859	2948	0.000000
281474976710655.000000	-17.482866	2949	0.000000
281474976710655.000000	-18.180977	2950	0.000000
281474976710655.000000	-17.259424	2951	0.000000
281474976710655.000000	-16.161381	2952	0.000000
281474976710655.000000	-15.565442	2953	0.000000
281474976710655.000000	-16.459862	2954	0.000000
281474976710655.000000	-14.709669	2955	0.000000
281474976710655.000000	-15.041681	2956	0.000000
281474976710655.000000	-14.346747	2957	0.000000
281474976710655.000000	-13.415648	2958	0.000000
281474976710655.000000	-13.173749	2959	0.000000
281474976710655.000000	-12.791280	2960	0.000000
